,address,city,population
509,г Москва,г Москва,11514330
786,г Санкт-Петербург,г Санкт-Петербург,4848742
647,г Новосибирск,Новосибирск,1498921
832,г Екатеринбург,Екатеринбург,1377738
619,г Нижний Новгород,Нижний Новгород,1250615
927,г Казань,Казань,1216965
782,г Самара,Самара,1164900
656,г Омск,Омск,1154000
1064,г Челябинск,Челябинск,1130273
757,г Ростов-на-Дону,Ростов-на-Дону,1091544
62,г Уфа,Уфа,1062300
121,г Волгоград,Волгоград,1021244
706,г Пермь,Пермь,1000679
411,г Красноярск,Красноярск,973826
159,г Воронеж,Воронеж,889680
801,г Саратов,Саратов,836900
381,г Краснодар,Краснодар,744933
784,"Самарская обл, г Тольятти",Тольятти,719484
4,г Барнаул,Барнаул,635585
999,г Ижевск,Ижевск,628117
1008,г Ульяновск,Ульяновск,613793
717,г Владивосток,Владивосток,592069
1116,г Ярославль,Ярославль,591486
223,г Иркутск,Иркутск,587225
995,г Тюмень,Тюмень,581758
177,г Махачкала,Махачкала,577990
1015,г Хабаровск,Хабаровск,577668
666,г Оренбург,Оренбург,570329
322,"Кемеровская область - Кузбасс, г Новокузнецк",Новокузнецк,547885
316,г Кемерово,Кемерово,532884
769,г Рязань,Рязань,525062
967,г Томск,Томск,522940
38,г Астрахань,Астрахань,520662
685,г Пенза,Пенза,519592
934,"Респ Татарстан, г Набережные Челны",Набережные Челны,513242
493,г Липецк,Липецк,508124
982,г Тула,Тула,501129
334,г Киров,Киров,473668
1079,г Чебоксары,Чебоксары,447929
97,г Улан-Удэ,Улан-Удэ,431922
250,г Калининград,Калининград,431491
76,г Брянск,Брянск,415640
447,г Курск,Курск,414595
195,г Иваново,Иваново,409277
1051,"Челябинская обл, г Магнитогорск",Магнитогорск,408401
958,г Тверь,Тверь,403726
906,г Ставрополь,Ставрополь,398266
866,г Севастополь,г Севастополь,393304
849,"Свердловская обл, г Нижний Тагил",Нижний Тагил,361883
66,г Белгород,Белгород,356426
25,г Архангельск,Архангельск,348716
99,г Владимир,Владимир,348256
390,"Краснодарский край, г Сочи",Сочи,343285
438,г Курган,Курган,333640
430,"Респ Крым, г Симферополь",Симферополь,332317
885,г Смоленск,Смоленск,326863
275,г Калуга,Калуга,325185
190,г Чита,Чита,323964
507,г Саранск,Саранск,318841
677,г Орёл,Орёл,317854
122,"Волгоградская обл, г Волжский",Волжский,314436
154,"Вологодская обл, г Череповец",Череповец,312311
870,г Владикавказ,Владикавказ,311635
593,г Мурманск,Мурманск,307664
1033,"Ханты-Мансийский Автономный округ - Югра АО, г Сургут",Сургут,306703
143,г Вологда,Вологда,301642
913,г Тамбов,Тамбов,280457
60,"Респ Башкортостан, г Стерлитамак",Стерлитамак,273432
1068,г Грозный,Грозный,271596
1097,г Якутск,Якутск,269486
363,г Кострома,Кострома,268617
1012,"Хабаровский край, г Комсомольск-на-Амуре",Комсомольск-на-Амуре,263906
305,г Петрозаводск,Петрозаводск,263540
760,"Ростовская обл, г Таганрог",Таганрог,257692
1027,"Ханты-Мансийский Автономный округ - Югра АО, г Нижневартовск",Нижневартовск,251860
500,г Йошкар-Ола,Йошкар-Ола,248688
219,"Иркутская обл, г Братск",Братск,246348
387,"Краснодарский край, г Новороссийск",Новороссийск,241788
611,"Нижегородская обл, г Дзержинск",Дзержинск,240762
762,"Ростовская обл, г Шахты",Шахты,240152
238,г Нальчик,Нальчик,240095
667,"Оренбургская обл, г Орск",Орск,238006
356,г Сыктывкар,Сыктывкар,235006
935,"Респ Татарстан, г Нижнекамск",Нижнекамск,234108
215,"Иркутская обл, г Ангарск",Ангарск,233765
73,"Белгородская обл, г Старый Оскол",Старый Оскол,221163
631,г Великий Новгород,Великий Новгород,218724
511,"Московская обл, г Балашиха",Балашиха,215353
16,г Благовещенск,Благовещенск,214397
325,"Кемеровская область - Кузбасс, г Прокопьевск",Прокопьевск,210150
574,"Московская обл, г Химки",Химки,207125
736,г Псков,Псков,203974
6,"Алтайский край, г Бийск",Бийск,203826
804,"Саратовская обл, г Энгельс",Энгельс,202838
1113,"Ярославская обл, г Рыбинск",Рыбинск,200771
789,"Саратовская обл, г Балаково",Балаково,199576
35,"Архангельская обл, г Северодвинск",Северодвинск,192265
374,"Краснодарский край, г Армавир",Армавир,188897
559,"Московская обл, г Подольск",Подольск,187956
536,"Московская обл, г Королёв",Королёв,183452
